"sciname","DepthRangeShallow","DepthRangeDeep","Length","CommonLength","SpecCode"
"Thalassoma septemfasciatum",NA,NA,31,NA,59650
"Thalassoma virens",NA,NA,30,NA,13821
"Xenojulis margaritaceus",0,NA,10,NA,4871
"Xyrichtys incandescens",NA,8,NA,NA,59643
"Xyrichtys javanicus",NA,NA,NA,NA,56499
"Xyrichtys rajagopalani",NA,NA,NA,NA,59653
"Xyrichtys victori",NA,NA,15,NA,46579
"Calotomus japonicus",NA,NA,39,NA,4356
"Calotomus viridescens",NA,30,21,NA,4358
"Chlorurus cyanescens",5,NA,50,NA,7909
"Chlorurus genazonatus",6,NA,31,NA,14382
"Chlorurus gibbus",NA,NA,70,NA,4979
"Chlorurus spilurus",NA,NA,NA,NA,66478
"Cryptotomus roseus",NA,60,13,10,3674
"Scarus arabicus",NA,NA,45,NA,12661
"Scarus chinensis",NA,NA,NA,NA,60439
"Scarus falcipinnis",6,NA,60,NA,7911
"Scarus gracilis",NA,NA,NA,NA,60441
"Scarus ovifrons",NA,NA,78,NA,23512
"Scarus persicus",NA,NA,50,NA,14383
"Scarus zelindae",NA,NA,33.2,NA,59490
"Scarus zufar",NA,8,50,NA,26221
"Sparisoma griseorubrum",NA,NA,NA,NA,60692
"Odax cyanoallix",NA,16,27,NA,12838
"Odax pullus",NA,NA,40,NA,12840
