,sciname,DepthRangeShallow,DepthRangeDeep,Length,Source
570,Suezichthys gracilis,10,45,16,IUCN
572,Suezichthys ornatus,8,45,3.87,EOL
574,Suezichthys russelli,80,130,7.5,IUCN
577,Symphodus cinereus,1,30,16,IUCN
581,Symphodus melops,1,30,28,IUCN
590,Thalassoma ascensionis,1,50,10,EOL
593,Thalassoma cupido,2,10,20,IUCN
594,Thalassoma duperrey,1,21,28,IUCN
595,Thalassoma genivittatum,4,25,20,IUCN
599,Thalassoma heiseri,1,15,11.62,IUCN
605,Thalassoma newtoni,1,40,NA,IUCN
612,Thalassoma rueppellii,0,30,20,IUCN
613,Thalassoma sanctaehelenae,NA,NA,NA,
614,Thalassoma septemfasciatum,NA,NA,31,
616,Thalassoma virens,1,10,30,IUCN
620,Xenojulis margaritaceus,0,10,10,IUCN
623,Xyrichtys incandescens,7,42,NA,IUCN
624,Xyrichtys javanicus,NA,NA,NA,
628,Xyrichtys rajagopalani,NA,NA,NA,
631,Xyrichtys victori,2,25,15,IUCN
